Song,Lyrics
willow,"i'm like the water when your ship rolled in that night rough on the surface, but you cut through like a knife and if it was an open-shut case i never would have known from the look on your face lost in your current like a priceless wine the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man life was a willow and it bent right to your wind head on the pillow, i can feel you sneakin' in as if you are a mythical thing like you were a trophy or a champion ring and there was one prize i'd cheat to win the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans, that's my man life was a willow, and it bent right to your wind they count me out time and time again life was a willow, and it bent right to your wind but i come back stronger than a '90s trend wait for the signal, and i'll meet you after dark show me the places where the others gave you scars now this is an open-shut case i guess i should've known from the look on your face every bait-and-switch was a work of art the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans, that's my man the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans, that's my man hey, that's my man that's my man yeah, that's my man every bait-and-switch was a work of art that's my man hey, that's my man i'm begging for you to take my hand wreck my plans, that's my man"
champagne problems,"you booked the night train for a reason so you could sit there in this hurt bustling crowds or silent sleepers you're not sure which is worse because i dropped your hand while dancing left you out there standing crestfallen on the landing champagne problems your mom's ring in your pocket my picture in your wallet your heart was glass, i dropped it champagne problems you told your family for a reason you couldn't keep it in your sister splashed out on the bottle now no one's celebrating dom perignon, you brought it no crowd of friends applauded your hometown skeptics called it champagne problems you had a speech, you're speechless love slipped beyond your reaches and i couldn't give a reason champagne problems your midas touch on the chevy door november flush and your flannel cure this dorm was once a madhouse i made a joke: well, it's made for me how evergreen, our group of friends don't think we'll say that word again and soon they'll have the nerve to deck the halls that we once walked through one for the money, two for the show i never was ready so i watch you go sometimes you just don't know the answer till someone's on their knees and asks you she would've made such a lovely bride what a shame she's fucked in the head, they said but you'll find the real thing instead she'll patch up your tapestry that i shred and hold your hand while dancing never leave you standing crestfallen on the landing with champagne problems your mom's ring in your pocket her picture in your wallet you won't remember all my champagne problems you won't remember all my champagne problems"
gold rush,"gleaming, twinkling eyes like sinking ships on waters so inviting i almost jump in i don't like a gold rush, gold rush i don't like anticipating my face in a red flush i don't like that anyone would die to feel your touch everybody wants you everybody wonders what it would be like to love you walk past, quick brush i don't like slow motion double vision in rose blush i don't like that falling feels like flying 'til the bone crush everybody wants you but i don't like a gold rush what must it be like to grow up that beautiful? with your hair falling into place like dominos i see me padding across your wooden floors with my eagles t-shirt hanging from the door at dinner parties i call you out on your contrarian shit and the coastal town we wandered 'round had never seen a love as pure as it and then it fades into the gray of my day old tea 'cause it could never be 'cause i don't like a gold rush, gold rush i don't like anticipating my face in a red flush i don't like that anyone would die to feel your touch everybody wants you everybody wonders what it would be like to love you walk past, quick brush i don't like slow motion double vision in rose blush i don't like that falling feels like flying 'til the bone crush everybody wants you and i don't like a gold rush what must it be like to grow up that beautiful? with your hair falling into place like dominos my mind turns your life into folklore i can't dare to dream about you anymore at dinner parties won't call you out on your contrarian shit and the coastal town we never found will never see a love as pure as it 'cause it fades into the gray of my day old tea 'cause it will never be gleaming, twinkling eyes like sinking ships on waters so inviting i almost jump in"
tis the damn season,"if i wanted to know who you were hanging with while i was gone, i would've asked you it's the kind of cold fogs up windshield glass but i felt it when i passed you there's an ache in you put there by the ache in me but if it's all the same to you it's the same to me so we could call it even you could call me babe for the weekend 'tis the damn season, write this down i'm stayin' at my parents' house and the road not taken looks real good now and it always leads to you and my hometown i parked my car right between the methodist and the school that used to be ours the holidays linger like bad perfume you can run, but only so far i escaped it too, remember how you watched me leave but if it's okay with you it's okay with me we could call it even you could call me babe for the weekend 'tis the damn season, write this down i'm stayin' at my parents' house and the road not taken looks real good now time flies, messy as the mud on your truck tires now i'm missing your smile, hear me out we could just ride around and the road not taken looks real good now and it always leads to you and my hometown sleep in half the day just for old times' sake i won't ask you to wait if you don't ask me to stay so i'll go back to la and the so-called friends who'll write books about me, if i ever make it and wonder about the only soul who can tell which smiles i'm fakin' and the heart i know i'm breakin' is my own to leave the warmest bed i've ever known we could call it even even though i'm leavin' and i'll be yours for the weekend 'tis the damn season we could call it even you could call me babe for the weekend 'tis the damn season, write this down i'm stayin' at my parents' house and the road not taken looks real good now time flies, messy as the mud on your truck tires now i'm missing your smile, hear me out we could just ride around and the road not taken looks real good now and it always leads to you and my hometown it always leads to you and my hometown"
tolerate it,"i sit and watch you reading with your head low i wake and watch you breathing with your eyes closed i sit and watch you i notice everything you do or don't do you're so much older and wiser and i i wait by the door like i'm just a kid use my best colors for your portrait lay the table with the fancy shit and watch you tolerate it if it's all in my head, tell me now tell me i've got it wrong somehow i know my love should be celebrated but you tolerate it i greet you with a battle hero's welcome i take your indiscretions all in good fun i sit and listеn i polish plates until they gleam and glistеn you're so much older and wiser and i i wait by the door like i'm just a kid use my best colors for your portrait lay the table with the fancy shit and watch you tolerate it if it's all in my head, tell me now tell me i've got it wrong somehow i know my love should be celebrated but you tolerate it while you were out building other worlds, where was i? where's that man who'd throw blankets over my barbed wire? i made you my temple, my mural, my sky now i'm begging for footnotes in the story of your life drawing hearts in the byline always taking up too much space or time you assume i'm fine, but what would you do if i break free and leave us in ruins took this dagger in me and removed it gain the weight of you then lose it believe me, i could do it if it's all in my head, tell me now tell me i've got it wrong somehow i know my love should be celebrated but you tolerate it i sit and watch you"
"no body, no crime","este's a friend of mine we meet up every tuesday night for dinner and a glass of wine este's been losin' sleep her husband's actin' different and it smells like infidelity she says: that ain't my merlot on his mouth that ain't my jewelry on our joint account no, there ain't no doubt i think i'm gonna call him out she says: i think he did it, but i just can't prove it i think he did it, but i just can't prove it i think he did it, but i just can't prove it no, no body, no crime but i ain't lettin' up until the day i die no, no i think he did it no, no he did it este wasn't there tuesday night at olive garden, at her job or anywhere he reports his missing wife and i noticed when i passed his house his truck has got some brand new tires and his mistress moved in sleeps in este's bed and everything no, there ain't no doubt somebody's gotta catch him out 'cause i think he did it, but i just can't prove it (he did it) i think he did it, but i just can't prove it (he did it) i think he did it, but i just can't prove it no, no body, no crime but i ain't lettin' up until the day i die no, no i think he did it no, no he did it good thing my daddy made me get a boating license when i was fifteen and i've cleaned enough houses to know how to cover up a scene good thing este's sister's gonna swear she was with me (she was with me, dude) good thing his mistress took out a big life insurance policy they think she did it, but they just can't prove it they think she did it, but they just can't prove it she thinks i did it, but she just can't prove it no, no body, no crime i wasn't lettin' up until the day he no, no body, no crime i wasn't lettin' up until the day he no, no body, no crime i wasn't lettin' up until the day he died"
happiness,"honey, when i'm above the trees i see this for what it is but now i'm right down in it, all the years i've given is just shit we're dividin' up showed you all of my hiding spots i was dancing when the music stopped and in the disbelief, i can't face reinvention i haven't met the new me yet there'll be happiness after you but there was happiness because of you both of these things can be true there is happiness past the blood and bruise past the curses and cries beyond the terror in the nightfall haunted by the look in my eyes that would've loved you for a lifetime leave it all behind and there is happiness tell me, when did your winning smile begin to look like a smirk? when did all our lessons start to look like weapons pointed at my deepest hurt? i hope she'll be a beautiful fool who takes my spot next to you no, i didn't mean that sorry, i can't see facts through all of my fury you haven't met the new me yet there'll be happiness after me but there was happiness because of me both of these things i believe there is happiness in our history across a great divide there is a glorious sunrise dappled with the flickers of light from the dress i wore at midnight leave it all behind and there is happiness i can't make it go away by making you a villain i guess it's the price i pay for seven years in heaven and i pulled your body into mine every goddamn night now i get fake niceties no one teaches you what to do when a good man hurts you and you know you hurt him too honey, when i'm above the trees i see it for what it is but now my eyes leak acid rain on the pillow where you used to lay your head after giving you the best i had tell me what to give after that all you want from me now is the green light of forgiveness you haven't met the new me yet but i think she'll give you that there'll be happiness after you but there was happiness because of you too both of these things can be true there is happiness in our history across a great divide there is a glorious sunrise dappled with the flickers of light from the dress i wore at midnight leave it all behind oh, leave it all behind leave it all behind and there is happiness"
dorothea,"hey, dorothea, do you ever stop and think about me? when we were younger, down in the park honey, making a lark of the misery you got shiny friends since you left town a tiny screen's the only place i see you now and i got nothing but well wishes for ya oh, this place is the same as it ever was oh, but you won't like it that way it's never too late to come back to my side the stars in your eyes shined brighter in tupelo and if you're ever tired of bеing known for who you know you know, that you'll always know me, dorothea (uh, uh) dorothea (ah, ah) oh, you'rе a queen sellin' dreams, sellin' make up in magazines oh, from you i'd buy anything hey, dorothea, do you ever stop and think about me? when it was calmer, skipping the prom just to piss off your mom and her pageant schemes and damn, dorothea, they all wanna be ya but are you still the same soul i met under the bleachers? well oh, i guess i'll never know oh, and you'll go on with the show but it's never too late to come back to my side the stars in your eyes shined brighter in tupelo and if you're ever tired of being known for who you know you know, you'll always know me, dorothea (uh, uh) dorothea (ah, ah) ooh, ooh ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh-ooh ooh, ooh ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh dorothea (ah, ah, ah) ah, ah"
coney island,"break my soul in two looking for you but you're right here if i can't relate to you anymore then who am i related to? and if this is the long haul how'd we get here so soon? did i close my fist around something delicate? did i shatter you? and i'm sitting on a bench in coney island wondering where did my baby go? the fast times, the bright lights, the merry go sorry for not making you my centerfold over and over lost again with no surprises disappointments, close your eyes and it gets colder and colder when the sun goes down the question pounds my head what's a lifetime of achievement? if i pushed you to the edge but you were too polite to leave me and do you miss the rogue who coaxed you into paradise and left you there? will you forgive my soul when you're too wise to trust me and too old to care? 'cause we were like the mall before the internet it was the one place to be the mischief, the gift wrapped suburban dreams sorry for not winning you an arcade ring over and over lost again with no surprises disappointments, close your eyes and it gets colder and colder when the sun goes down were you waiting at our old spot in the tree line by the gold clock? did i leave you hanging every single day? were you standing in the hallway with a big cake? happy birthday did i paint your bluest skies the darkest grey? a universe away and when i got into the accident the sight that flashed before me was your face but when i walked up to the podium i think that i forgot to say your name i'm on a bench in coney island wondering where did my baby go? the fast times, the bright lights, the merry go sorry for not making you my centerfold over and over lost again with no surprises disappointments, close your eyes and it gets colder and colder when the sun goes down when the sun goes down the sight that flashed before me was your face when the sun goes down but i think that i forgot to say your name over and over sorry for not making you my, making you my making you my centerfold"
ivy,"how's one to know? i'd meet you where the spirit meets the bones in a faith forgotten land in from the snow your touch brought forth an incandescent glow tarnished but so grand and the old widow goes to the stone every day but i don't, i just sit here and wait grieving for the living oh, goddamn my pain fits in the palm of your freezing hand taking mine, but it's been promised to another oh, i can't stop you putting roots in my dreamland my house of stone, your ivy grows and now i'm covered in you i wish to know the fatal flaw that makes you long to be magnificently cursed he's in the room your opal eyes are all i wish to see he wants what's only yours oh, goddamn my pain fits in the palm of your freezing hand taking mine, but it's been promised to another oh, i can't stop you putting roots in my dreamland my house of stone, your ivy grows and now i'm covered clover blooms in the fields spring breaks loose, the time is near what would he do if he found us out? crescent moon, coast is clear spring breaks loose, but so does fear he's gonna burn this house to the ground how's one to know? i'd live and die for moments that we stole on begged and borrowed time so tell me to run or dare to sit and watch what we'll become and drink my husband's wine oh, goddamn my pain fits in the palm of your freezing hand taking mine, but it's been promised to another oh, i can't stop you putting roots in my dreamland my house of stone, your ivy grows and now i'm covered in you and i'm covered in you so yeah, it's a fire it's a goddamn blaze in the dark and you started it you started it so yeah, it's a war it's the goddamn fight of my life and you started it you started it oh, i can't stop you putting roots in my dreamland my house of stone, your ivy grows and now i'm covered in you, in you now i'm covered in you in you"
cowboy like me,"and the tennis court was covered up with some tent-like thing and you asked me to dance but i said: dancing is a dangerous game oh, i thought this is gonna be one of those things now i know i'm never gonna love again i've got some tricks up my sleeve takes one to know one you're a cowboy like me never wanted love, just a fancy car now i'm waiting by the phone like i'm sitting in an airport bar you had some tricks up your sleeve takes one to know one you're a cowboy like me perched in the dark telling all the rich folks anything they wanna hear like it could be love i could be the way forward only if they pay for it you're a bandit like me eyes full of stars hustling for the good life never thought i'd meet you here it could be love we could be the way forward and i know i'll pay for it you're a cowboy like me perched in the dark telling all the rich folks anything they wanna hear like it could be love i could be the way forward only if they pay for it you're a bandit like me eyes full of stars hustling for the good life never thought i'd meet you here it could be love we could be the way forward and i know i'll pay for it and the skeletons in both our closets plotted hard to fuck this up and the old men that i've swindled really did believe i was the one and the ladies lunching have their stories about when you passed through town but that was all before i locked it down now you hang from my lips like the gardens of babylon with your boots beneath my bed forever is the sweetest con i've had some tricks up my sleeve takes one to know one you're a cowboy like me and i'm never gonna love again i'm never gonna love again i'm never gonna love again"
long story short,"fatefully i tried to pick my battles till the battle picked me misery like the war of words i shouted in my sleep and you passed right by i was in the alley, surrounded on all sides the knife cuts both ways if the shoe fits, walk in it till your high heels break and i fell from the pedestal right down the rabbit hole long story short, it was a bad time pushed from the precipice clung to the nearest lips long story short, it was the wrong guy now i'm all about you i'm all about you, ah yeah, yeah i'm all about you, ah yeah, yeah actually i always felt i must look better in the rear view missing me at the golden gates they once held the keys to when i dropped my sword i threw it in the bushes and knocked on your door and we live in peace but if someone comes at us this time, i'm ready 'cause i fell from the pedestal right down the rabbit hole long story short, it was a bad time pushed from the precipice clung to the nearest lips long story short, it was the wrong guy now i'm all about you i'm all about you, ah yeah, yeah i'm all about you no more keepin' score now i just keep you warm (keep you warm) no more tug of war now i just know there's more (know there's more) no more keepin' score now i just keep you warm (keep you warm) and my waves meet your shore ever and evermore past me i wanna tell you not to get lost in these petty things your nemeses will defeat themselves before you get the chance to swing and he's passing by rare as the glimmer of a comet in the sky and he feels like home if the shoe fits, walk in it everywhere you go and i fell from the pedestal right down the rabbit hole long story short, it was a bad time pushed from the precipice climbed right back up the cliff long story short, i survived now i'm all about you (now) i'm all about you, ah (now) i'm all about you, ah (now) yeah, yeah i'm all about you (now) yeah, yeah i'm all about you long story short, it was a bad time long story short, i survived"
marjorie,"never be so kind you forget to be clever never be so clever you forget to be kind and if i didn't know better i'd think you were talking to me now if i didn't know better i'd think you were still around what died didn't stay dead what died didn't stay dead you're alive, you're alive in my head what died didn't stay dead what died didn't stay dead you're alive, so alive never be so politе you forget your power nevеr wield such power you forget to be polite and if i didn't know better i'd think you were listening to me now if i didn't know better i'd think you were still around what died didn't stay dead what died didn't stay dead you're alive, you're alive in my head what died didn't stay dead what died didn't stay dead you're alive, so alive the autumn chill that wakes me up you loved the amber skies so much long limbs and frozen swims you'd always go past where our feet could touch and i complained the whole way there the car ride back and up the stairs i should've asked you questions i should've asked you how to be asked you to write it down for me should've kept every grocery store receipt 'cause every scrap of you would be taken from me watched as you signed your name marjorie all your closets of backlogged dreams and how you left them all to me what died didn't stay dead what died didn't stay dead you're alive, you're alive in my head what died didn't stay dead what died didn't stay dead you're alive, so alive and if i didn't know better i'd think you were singing to me now if i didn't know better i'd think you were still around i know better but i still feel you all around i know better but you're still around"
closure,"it's been a long time and seeing the shape of your name still spells out pain it wasn't right the way it all went down looks like you know that now yes, i got your letter yes, i'm doing better it cut deep to know ya, right to the bone yes, i got your letter yes, i'm doing better i know that it's over i don't need your closure your closure don't treat me like some situation that needs to be handled i'm fine with my spite and my tears, and my beers and my candles i can feel you smoothing me over yes, i got your letter yes, i'm doing bettеr it cut deep to know ya, right to the bone yes, i got your lеtter yes, i'm doing better i know that it's over i don't need your closure your closure your closure your closure i know i'm just a wrinkle in your new life staying friends would iron it out so nice guilty, guilty, reaching out across the sea that you put between you and me but it's fake and it's, oh, so unnecessary yes, i got your letter yes, i'm doing better it cut deep to know ya right to the bone yes, i got your letter yes, i'm doing better i know that it's over i don't need your closure, closure your closure your closure"
evermore,"gray november, i've been down since july motion capture put me in a bad light i replay my footsteps on each stepping stone trying to find the one where i went wrong writing letters addressed to the fire and i was catching my breath staring out an open window, catching my death and i couldn't be sure, i had a feeling so peculiar that this pain would be for evermore hey, december, guess i'm feeling unmoored can't remember what i used to fight for i rewind the tape, but all it does is pause on the very moment all was lost sending signals to be double-crossed and i was catching my breath barefoot in the wildest winter, catching my death and i couldn't be sure, i had a feeling so peculiar that this pain would be for evermore (evermore) can't not think of all the cost and the things that will be lost oh, can we just get a pause to be certain we'll be tall again? whether weather be the frost or the violence of the dog days i'm on waves, out being tossed is there a line that i could just go cross? and when i was shipwrecked (can't think of all the cost) i thought of you (all the things that will be lost now) in the cracks of light (can we just get a pause) i dreamed of you (to be certain we'll be tall again?) (if you think of all the costs) it was real enough (whether weather be the frost) to get me through (or the violence of the dog days) or the violence of the dog days (out on waves, being tossed) (i'm on waves, out being tossed) i swear (is there a line that we could just go cross?) you were there and i was catching my breath floors of a cabin creaking under my step and i couldn't be sure, i had a feeling so peculiar this pain wouldn't be for evermore evermore (evermore) evermore this pain wouldn't be for evermore (ooh) evermore"
right where you left me,"friends break up, friends get married strangers get born, strangers get buried trends change, rumors fly through new skies but i'm right where you left me matches burn after the other pages turn and stick to each other wages earned and lessons learned but i'm right where you left me help, i'm still at the restaurant still sitting in a corner i haunt cross-legged in the dim light they say: what a sad sight i, i swear you could hear a hair pin drop right when i felt the moment stop glass shattered on the white cloth everybody moved on i, i stayed there dust collected on my pinned up hair they expected me to find somewhere some perspective, but i sat and stared right where you left me you left me, no oh, you left me, no you left me no choice, but to stay here forever you left me you left me, no oh, you left me, no you left me no choice, but to stay here forever did you ever hear about the girl who got frozen? time went on for everybody else, she won't know it she's still twenty-three inside her fantasy how it was supposed to be did you hear about the girl who lives in delusion? breakups happen every day, you don't have to lose it she's still twenty-three inside her fantasy and you're sitting in front of me at the restaurant when i was still the one you want cross-legged in the dim light everything was just right i, i could feel the mascara run you told me that you met someone glass shattered on the white cloth everybody moved on help, i'm still at the restaurant still sitting in a corner i haunt cross-legged in the dim light they say: what a sad sight i, i stayed there dust collected on my pinned up hair i'm sure that you got a wife out there kids and christmas, but i'm unaware 'cause i'm right where i cause no harm mind my business, if our love died young i can't bear witness, and it's been so long but if you ever think you got it wrong i'm right where you left me you left me, no oh, you left me, no you left me no choice, but to stay here forever you left me you left me, no oh, you left me, no you left me no choice, but to stay here forever"
it's time to go,"when the dinner is cold and the chatter gets old you ask for the tab or that moment again, he's insisting that friends look at each other like that when the words of a sister come back in whispers that prove she was not in fact what she seemed, not a twin from your dreams she's a crook who was caught that old familiar body ache the snaps from the same little breaks in your soul you know when it's time to go twenty years at your job, then the son of the boss gets the spot that was yours or trying to stay for the kids, when keeping it how it is will only break their hearts worse that old familiar body ache the snaps from the same little breaks in your soul you know when it's time to go sometimes, giving up is the strong thing sometimes, to run is the brave thing sometimes, walking out is the one thing that will find you the right thing sometimes, giving up is the strong thing sometimes, to run is the brave thing sometimes, walking out is the one thing that will find you the right thing fifteen years, fifteen million tears begging till my knees bled i gave it my all, he gave me nothing at all then wondered why i left now he sits on his throne in his palace of bones praying to his greed he's got my past frozen behind glass but i've got me that old familiar body ache the snaps from the same little breaks in my soul i know when it's time to go sometimes, giving up is the strong thing sometimes, to run is the brave thing sometimes, walking out is the one thing that will find you the right thing sometimes, giving up is the strong thing sometimes, to run is the brave thing sometimes, walking out is the one thing that will find you the right thing that will find you the right thing and you know in your soul and you know in your soul when it's time to go and, well, you know, you know, you know, you know when it's time to go so then you go and then you go you just go"